Device : cpu
Seed   : 42
Total timesteps : 3,000,000
Steps/iter      : 512
Total iters     : 5859
Parallel envs   : 4

Creating LunarLander-v3 environments...
obs_dim   : 8
n_actions : 4
Policy params : 5,061

Starting training — run: lunar_ppo_1781377163

  iter |     steps |    sps |   ep_rew | ep_len | n_eps |     pol |     val |     ent |       kl |     ev | lr
iter    40 | steps   20,480 | sps   2990 | ep_rew    -7.30 | ep_len    108 | n_eps    4 | pol -0.0006 | val  0.5585 | ent -1.3396 | kl 0.000034 | ev  0.216 | lr 2.98e-04
iter    41 | steps   20,992 | sps   2968 | ep_rew    -4.13 | ep_len     95 | n_eps    5 | pol -0.0012 | val  0.1128 | ent -1.3488 | kl 0.000062 | ev  0.499 | lr 2.98e-04
iter    42 | steps   21,504 | sps   2996 | ep_rew    -2.24 | ep_len    114 | n_eps    5 | pol -0.0009 | val  0.2749 | ent -1.3414 | kl 0.000031 | ev -0.133 | lr 2.98e-04
iter    43 | steps   22,016 | sps   2990 | ep_rew    -3.39 | ep_len     94 | n_eps    6 | pol -0.0014 | val  0.0798 | ent -1.3233 | kl 0.000058 | ev  0.367 | lr 2.98e-04
iter    44 | steps   22,528 | sps   2999 | ep_rew    -4.43 | ep_len     88 | n_eps    5 | pol -0.0014 | val  0.2448 | ent -1.3251 | kl 0.000109 | ev  0.157 | lr 2.98e-04
iter    45 | steps   23,040 | sps   3002 | ep_rew    -4.97 | ep_len    107 | n_eps    5 | pol -0.0003 | val  0.2143 | ent -1.3413 | kl 0.000063 | ev -0.149 | lr 2.98e-04
iter    46 | steps   23,552 | sps   3030 | ep_rew    -3.43 | ep_len    102 | n_eps    4 | pol -0.0006 | val  0.1100 | ent -1.3352 | kl 0.000046 | ev  0.487 | lr 2.98e-04
iter    47 | steps   24,064 | sps   2611 | ep_rew    -3.96 | ep_len    111 | n_eps    4 | pol -0.0006 | val  0.0972 | ent -1.3294 | kl 0.000034 | ev  0.437 | lr 2.98e-04
iter    48 | steps   24,576 | sps   2909 | ep_rew    -3.78 | ep_len    111 | n_eps    7 | pol -0.0011 | val  0.1664 | ent -1.3176 | kl 0.000035 | ev  0.353 | lr 2.98e-04
iter    49 | steps   25,088 | sps   2602 | ep_rew    -2.43 | ep_len     82 | n_eps    6 | pol -0.0013 | val  0.1389 | ent -1.3136 | kl 0.000064 | ev  0.468 | lr 2.98e-04
iter    50 | steps   25,600 | sps   3025 | ep_rew    -4.35 | ep_len    102 | n_eps    4 | pol -0.0012 | val  0.1530 | ent -1.3332 | kl 0.000045 | ev  0.261 | lr 2.97e-04
iter    51 | steps   26,112 | sps   2971 | ep_rew    -1.55 | ep_len    119 | n_eps    5 | pol -0.0007 | val  0.4766 | ent -1.3152 | kl 0.000051 | ev -0.153 | lr 2.97e-04
  [best] new best -1.55 → models/lunar_ppo/lunar_checkpoint_best.pt
iter    52 | steps   26,624 | sps   5668 | ep_rew    -2.53 | ep_len     90 | n_eps    6 | pol -0.0010 | val  0.0851 | ent -1.3052 | kl 0.000033 | ev  0.540 | lr 2.97e-04
iter    53 | steps   27,136 | sps   5333 | ep_rew    -3.93 | ep_len     94 | n_eps    5 | pol -0.0008 | val  0.1899 | ent -1.3062 | kl 0.000108 | ev -0.477 | lr 2.97e-04
iter    54 | steps   27,648 | sps   5438 | ep_rew    -2.83 | ep_len    108 | n_eps    4 | pol -0.0010 | val  0.1190 | ent -1.3213 | kl 0.000039 | ev  0.312 | lr 2.97e-04
iter    55 | steps   28,160 | sps   2751 | ep_rew    -3.80 | ep_len    112 | n_eps    4 | pol -0.0010 | val  0.1387 | ent -1.3050 | kl 0.000046 | ev  0.278 | lr 2.97e-04
iter    56 | steps   28,672 | sps   3018 | ep_rew    -2.54 | ep_len     95 | n_eps    6 | pol -0.0020 | val  0.1519 | ent -1.2921 | kl 0.000040 | ev  0.265 | lr 2.97e-04
iter    57 | steps   29,184 | sps   2867 | ep_rew    -1.98 | ep_len    104 | n_eps    4 | pol -0.0011 | val  0.2710 | ent -1.2999 | kl 0.000106 | ev  0.360 | lr 2.97e-04
iter    58 | steps   29,696 | sps   4933 | ep_rew    -4.14 | ep_len    142 | n_eps    5 | pol -0.0018 | val  0.7262 | ent -1.2915 | kl 0.000115 | ev  0.260 | lr 2.97e-04
iter    59 | steps   30,208 | sps   4937 | ep_rew    -3.23 | ep_len    118 | n_eps    4 | pol -0.0021 | val  0.1262 | ent -1.3024 | kl 0.000117 | ev  0.595 | lr 2.97e-04
iter    60 | steps   30,720 | sps   2059 | ep_rew    -2.83 | ep_len    101 | n_eps    5 | pol -0.0019 | val  0.1070 | ent -1.2913 | kl 0.000092 | ev  0.659 | lr 2.97e-04
iter    61 | steps   31,232 | sps   4342 | ep_rew    -2.20 | ep_len    111 | n_eps    4 | pol -0.0003 | val  0.0644 | ent -1.2818 | kl 0.000046 | ev  0.725 | lr 2.97e-04
iter    62 | steps   31,744 | sps   4021 | ep_rew    -1.88 | ep_len    114 | n_eps    4 | pol -0.0009 | val  0.1001 | ent -1.2718 | kl 0.000028 | ev  0.654 | lr 2.97e-04
iter    63 | steps   32,256 | sps   3967 | ep_rew    -2.27 | ep_len    112 | n_eps    6 | pol -0.0007 | val  0.1328 | ent -1.2476 | kl 0.000036 | ev  0.520 | lr 2.97e-04
iter    64 | steps   32,768 | sps   3871 | ep_rew    -3.36 | ep_len    107 | n_eps    4 | pol -0.0007 | val  0.2189 | ent -1.2778 | kl 0.000040 | ev -0.092 | lr 2.97e-04
iter    65 | steps   33,280 | sps   2330 | ep_rew    -2.40 | ep_len    103 | n_eps    4 | pol -0.0019 | val  0.1920 | ent -1.2826 | kl 0.000126 | ev  0.207 | lr 2.97e-04
iter    66 | steps   33,792 | sps   3494 | ep_rew    -2.55 | ep_len    112 | n_eps    3 | pol -0.0011 | val  0.1239 | ent -1.2449 | kl 0.000072 | ev  0.558 | lr 2.97e-04
iter    67 | steps   34,304 | sps   2229 | ep_rew    -3.45 | ep_len    110 | n_eps    4 | pol -0.0007 | val  0.1979 | ent -1.2819 | kl 0.000100 | ev  0.342 | lr 2.97e-04
iter    68 | steps   34,816 | sps   3777 | ep_rew    -1.88 | ep_len    190 | n_eps    5 | pol -0.0005 | val  0.0930 | ent -1.2694 | kl 0.000041 | ev  0.408 | lr 2.97e-04
iter    69 | steps   35,328 | sps   3647 | ep_rew    -1.83 | ep_len    104 | n_eps    4 | pol -0.0008 | val  0.1097 | ent -1.2633 | kl 0.000034 | ev  0.477 | lr 2.97e-04
iter    70 | steps   35,840 | sps   3677 | ep_rew    -2.31 | ep_len    105 | n_eps    6 | pol -0.0010 | val  0.0850 | ent -1.2581 | kl 0.000110 | ev  0.529 | lr 2.96e-04
iter    71 | steps   36,352 | sps   1037 | ep_rew    -2.77 | ep_len    112 | n_eps    4 | pol -0.0017 | val  0.0974 | ent -1.2547 | kl 0.000115 | ev  0.638 | lr 2.96e-04
iter    72 | steps   36,864 | sps   2136 | ep_rew    -1.14 | ep_len    115 | n_eps    4 | pol -0.0011 | val  0.0915 | ent -1.2486 | kl 0.000062 | ev  0.599 | lr 2.96e-04
  [best] new best -1.14 → models/lunar_ppo/lunar_checkpoint_best.pt
iter    73 | steps   37,376 | sps   2157 | ep_rew    -4.08 | ep_len    121 | n_eps    4 | pol -0.0009 | val  0.2717 | ent -1.2255 | kl 0.000088 | ev  0.656 | lr 2.96e-04
iter    74 | steps   37,888 | sps   2248 | ep_rew    -2.77 | ep_len    115 | n_eps    5 | pol -0.0023 | val  0.1130 | ent -1.1932 | kl 0.000086 | ev  0.715 | lr 2.96e-04
iter    75 | steps   38,400 | sps   3039 | ep_rew    -1.52 | ep_len    105 | n_eps    6 | pol -0.0015 | val  0.0945 | ent -1.1708 | kl 0.000096 | ev  0.662 | lr 2.96e-04
iter    76 | steps   38,912 | sps   2062 | ep_rew     0.24 | ep_len     91 | n_eps    3 | pol -0.0016 | val  0.1229 | ent -1.1978 | kl 0.000050 | ev  0.664 | lr 2.96e-04
  [best] new best 0.24 → models/lunar_ppo/lunar_checkpoint_best.pt
iter    77 | steps   39,424 | sps   2013 | ep_rew    -2.61 | ep_len    137 | n_eps    3 | pol -0.0011 | val  0.0811 | ent -1.1823 | kl 0.000155 | ev  0.826 | lr 2.96e-04
iter    78 | steps   39,936 | sps   2078 | ep_rew    -0.94 | ep_len    160 | n_eps    3 | pol -0.0012 | val  0.1423 | ent -1.2424 | kl 0.000152 | ev  0.609 | lr 2.96e-04
iter    79 | steps   40,448 | sps   1796 | ep_rew    -2.02 | ep_len    129 | n_eps    2 | pol -0.0012 | val  0.0908 | ent -1.2517 | kl 0.000263 | ev  0.532 | lr 2.96e-04
iter    80 | steps   40,960 | sps   2056 | ep_rew    -1.22 | ep_len    146 | n_eps    4 | pol -0.0017 | val  0.0893 | ent -1.2262 | kl 0.000290 | ev  0.681 | lr 2.96e-04
iter    81 | steps   41,472 | sps   1906 | ep_rew    -3.64 | ep_len    112 | n_eps    4 | pol -0.0019 | val  0.1166 | ent -1.2324 | kl 0.000241 | ev  0.503 | lr 2.96e-04
iter    82 | steps   41,984 | sps   2042 | ep_rew    -2.25 | ep_len    104 | n_eps    3 | pol -0.0024 | val  0.1607 | ent -1.2637 | kl 0.000384 | ev  0.136 | lr 2.96e-04
iter    83 | steps   42,496 | sps   1962 | ep_rew    -1.37 | ep_len    130 | n_eps    2 | pol -0.0022 | val  0.1086 | ent -1.2545 | kl 0.000822 | ev  0.377 | lr 2.96e-04
iter    84 | steps   43,008 | sps   2032 | ep_rew    -2.16 | ep_len    410 | n_eps    3 | pol -0.0032 | val  0.1585 | ent -1.2745 | kl 0.000757 | ev  0.330 | lr 2.96e-04
iter    85 | steps   43,520 | sps   1704 | ep_rew    -2.87 | ep_len    109 | n_eps    4 | pol -0.0008 | val  0.2290 | ent -1.2756 | kl 0.000271 | ev -0.016 | lr 2.96e-04
