Device : cpu
Seed   : 42
Total timesteps : 3,000,000
Steps/iter      : 512
Total iters     : 5859
Parallel envs   : 4

Creating LunarLander-v3 environments...
obs_dim   : 8
n_actions : 4
Policy params : 5,061

Starting training — run: lunar_ppo_1781379942

  iter |     steps |    sps |   ep_rew | ep_len | n_eps |     pol |     val |     ent |       kl |     ev | lr
iter    38 | steps   19,456 | sps   3181 | ep_rew  -120.04 | ep_len     93 | n_eps    6 | pol -0.0002 | val  0.0135 | ent -1.3785 | kl 0.000002 | ev  0.534 | lr 1.00e-04
iter    39 | steps   19,968 | sps   5300 | ep_rew  -142.31 | ep_len     86 | n_eps    6 | pol -0.0003 | val  0.0505 | ent -1.3819 | kl 0.000002 | ev  0.388 | lr 1.00e-04
iter    40 | steps   20,480 | sps   4958 | ep_rew  -150.86 | ep_len    107 | n_eps    4 | pol -0.0002 | val  0.0218 | ent -1.3785 | kl 0.000002 | ev  0.011 | lr 1.00e-04
iter    41 | steps   20,992 | sps   3014 | ep_rew  -105.54 | ep_len     88 | n_eps    7 | pol -0.0002 | val  0.0169 | ent -1.3802 | kl 0.000002 | ev  0.442 | lr 1.00e-04
iter    42 | steps   21,504 | sps   3130 | ep_rew  -174.78 | ep_len     84 | n_eps    5 | pol -0.0003 | val  0.0363 | ent -1.3773 | kl 0.000003 | ev  0.157 | lr 1.00e-04
iter    43 | steps   22,016 | sps   3285 | ep_rew  -108.25 | ep_len     92 | n_eps    6 | pol -0.0003 | val  0.0173 | ent -1.3810 | kl 0.000003 | ev  0.158 | lr 1.00e-04
iter    44 | steps   22,528 | sps   3317 | ep_rew  -115.26 | ep_len    100 | n_eps    5 | pol -0.0002 | val  0.0157 | ent -1.3792 | kl 0.000002 | ev  0.373 | lr 1.00e-04
iter    45 | steps   23,040 | sps   3030 | ep_rew  -181.08 | ep_len     92 | n_eps    6 | pol -0.0002 | val  0.0619 | ent -1.3756 | kl 0.000003 | ev -0.003 | lr 1.00e-04
iter    46 | steps   23,552 | sps   3250 | ep_rew   -84.41 | ep_len     81 | n_eps    5 | pol -0.0004 | val  0.0195 | ent -1.3771 | kl 0.000002 | ev  0.473 | lr 1.00e-04
  [best] new best -84.41 → models/lunar_ppo/lunar_checkpoint_best.pt
